figure,story,file
1,"Geometry and single-Rayleigh channel topology",/Users/YongLI/Library/Mobile Documents/com~apple~CloudDocs/Research/TongjiU/Students/王泉森/UnderwaterRayleighBIC/Ni2019_MATLAB/results/PRL_gallery/PRL_Fig01_geometry_channels.png
2,"Strict zero-radiation and square-integrability evidence",/Users/YongLI/Library/Mobile Documents/com~apple~CloudDocs/Research/TongjiU/Students/王泉森/UnderwaterRayleighBIC/Ni2019_MATLAB/results/PRL_gallery/PRL_Fig02_strict_bic_evidence.png
3,"Leaky pole, Rayleigh branch point, Q scaling, and spectral cuts",/Users/YongLI/Library/Mobile Documents/com~apple~CloudDocs/Research/TongjiU/Students/王泉森/UnderwaterRayleighBIC/Ni2019_MATLAB/results/PRL_gallery/PRL_Fig03_pole_q_scaling.png
4,"Theory atlas for water-tank A_n, efficiencies, and near field",/Users/YongLI/Library/Mobile Documents/com~apple~CloudDocs/Research/TongjiU/Students/王泉森/UnderwaterRayleighBIC/Ni2019_MATLAB/results/PRL_gallery/PRL_Fig04_scattering_atlas.png
5,"Off-resonant, ideal-qBIC, practical-router, and dark eigenfields",/Users/YongLI/Library/Mobile Documents/com~apple~CloudDocs/Research/TongjiU/Students/王泉森/UnderwaterRayleighBIC/Ni2019_MATLAB/results/PRL_gallery/PRL_Fig05_driven_and_bic_fields.png
6,"Reciprocal signed-order locking and full scattering-matrix audit",/Users/YongLI/Library/Mobile Documents/com~apple~CloudDocs/Research/TongjiU/Students/王泉森/UnderwaterRayleighBIC/Ni2019_MATLAB/results/PRL_gallery/PRL_Fig06_reciprocal_channel_locking.png
7,"Independent phase role of the second cavity",/Users/YongLI/Library/Mobile Documents/com~apple~CloudDocs/Research/TongjiU/Students/王泉森/UnderwaterRayleighBIC/Ni2019_MATLAB/results/PRL_gallery/PRL_Fig07_second_cavity_mechanism.png
8,"Manufacturability, tolerance, sound-speed drift, and route convergence",/Users/YongLI/Library/Mobile Documents/com~apple~CloudDocs/Research/TongjiU/Students/王泉森/UnderwaterRayleighBIC/Ni2019_MATLAB/results/PRL_gallery/PRL_Fig08_manufacturability_tolerance.png
9,"Underwater experiment and modal extraction",/Users/YongLI/Library/Mobile Documents/com~apple~CloudDocs/Research/TongjiU/Students/王泉森/UnderwaterRayleighBIC/Ni2019_MATLAB/results/PRL_gallery/PRL_Fig09_underwater_experiment.png
10,"Near-unity off-Rayleigh anomalous reflection and reciprocal angle window",/Users/YongLI/Library/Mobile Documents/com~apple~CloudDocs/Research/TongjiU/Students/王泉森/UnderwaterRayleighBIC/Ni2019_MATLAB/results/PRL_gallery/PRL_Fig10_device_operation.png
